idalumno|codigoCurso|serie|p1_1|p1_2|p2|p3|p4|p5|p6|p7|p8_1|p8_2|p8_3|p8_4|p8_5|p8_6|p8_7|p8_8|p8_9|p8_10|p9|p10_1|p10_2|p10_3|p11|p12|p13_1|p13_2|p13_3|p13_4|p13_5|p13_6|p13_7|p13_8|p13_9|p13_10|p14_1|p14_2|p14_3|p14_4|p14_5|p14_6|p14_7|p14_8|p15_1|p15_2|p15_3|p15_4|p15_5|p15_6|p15_7|p15_8|p16_1|p16_2|p16_3|p16_4|p16_5|p17|p18_1|p18_2|p18_3|p18_4|p18_5|p18_6|p18_7|p18_8|p18_9|p18_10|p18_11|p18_12|p18_13|p18_14|p18_15|p18_16|p18_17|p19_1|p19_2|p19_3|p19_4|p19_5|p19_6|p19_7|p20_1|p20_2|p20_3|p20_4|p20_5|p21_1|p21_2|p21_3|p21_4|p21_5|p21_6|p21_7|p21_8|p21_9|p21_10|p21_11|p21_12|p21_13|p22_1|p22_2|p22_3|p22_4|p22_5|p22_6|p23_1|p23_2|p23_3|p23_4|p23_5|p24_1|p24_2|p24_3|p24_4|p24_5|p24_6|p24_7|p25_1|p25_2|p25_3|p25_4|p25_5|p26_1|p26_2|p26_3|p26_4|p27_1|p27_2|p27_3|p27_4|p27_5|p27_6|p27_7|p27_8|p27_9|p28_1|p28_2|p28_3|p28_4
1|398|8015795|1|1976|2|3|1|1|1|1|0|0|0|0|0|0|1|0|0|0|1|4|1|4|5|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|4|2|2|2|4|1|4|2|4|3|4|1|1|3|3|4|3|3|4|3|3|3|2|4|3|4|3|3|2|2|4|3|4|3|3|3|2|3|2|3|2|4|4|2|2|3|3|3|2|3|3|2|3|3|4|3|3|3|3|4|3|1|2|4|2|2|3|3|2|2|3|2|2|2|4|2|2|2|2|2|2|2|2|2|3|3|2|2
2|398|8015796|1|1976|2|3|1|1|1|1|0|0|0|0|0|0|1|0|0|0|1|3|1|3|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|2|1|1|1|1|1|1|1|1|1|3|4|2|4|4|3|4|1|4|3|3|2|2|3|3|3|3|3|3|3|3|3|3|3|1|3|2|3|2|1|4|4|3|3|3|2|2|1|1|2|1|2|1|1|3|2|1|1|4|4|3|4|3|3|4|4|4|4|4|3|4|1|1|4|1|1|2|1|2|3|4|1|1|1|4|2|2|2|2|2|2|2|2|2|1|3|3|1
3|398|8015797|1|1976|2|3|1|1|1|1|0|0|0|0|0|0|1|0|0|0|1|4|1|4|3|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|3|4|3|4|3|3|4|1|4|2|3|1|2|3|3|3|3|3|3|3|3|2|2|4|2|3|2|3|1|2|4|4|3|3|3|2|1|1|1|1|1|2|2|1|2|2|2|1|4|3|3|4|3|3|4|4|4|3|4|4|4|1|1|4|1|1|2|2|2|2|3|1|1|1|4|2|2|2|2|2|2|2|2|2|2|2|3|1
7|398|8015801|8|1969|1|3|1|1|1|1|0|0|0|1|1|0|0|0|0|0|1|4|1|4|1|1|1|1|1|2|1|1|2|1|1|1|2|1|1|2|1|1|1|1|1|1|1|2|1|1|1|1|4|3|2|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|1|3|2|3|2|1|4|4|3|3|3|2|2|1|1|2|1|2|1|1|3|2|1|1|1|1|3|4|3|3|4|4|4|4|4|3|3|2|1|4|4|1|2|1|2|3|1|1|1|1|3|2|2|1|2|2|2|1|2|2|1|3|3|2
11|402|8015872|3|1955|1|1|1|1|1|1|0|1|2|0|0|0|0|0|0|0|1|2|2|3|1|1|1|1|1|1|1|1|1|1|1|1|3|2|1|1|1|1|1|1|1|1|1|1|1|1|3|3|4|4|3|1|1|4|4|2|3|2|3|1|1|4|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|2|4|4|3|3|3|2|1|2|1|1|1|4|4|1|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|3|3|2|3|3|3|3|3|3|3|3|3|3|3|2|3|2|2|2|2|2|2|2|2|2|4|4|4|2
12|402|8015873|4|1965|2|1|1|1|1|1|0|0|0|0|1|0|0|0|0|0|1|2|0|3|5|1|2|1|1|1|1|1|1|1|1|1|3|3|1|1|1|1|2|1|1|1|1|2|2|2|2|3|4|4|3|4|4|2|4|1|4|4|3|1|1|3|3|4|3|2|4|4|4|4|4|3|1|4|2|3|1|1|4|3|4|4|4|2|1|0|2|3|2|3|3|2|3|3|4|2|3|3|2|2|3|3|3|3|3|2|4|4|4|1|1|4|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
13|402|8015874|8|1974|2|2|3|1|0|0|0|0|0|2|1|0|0|0|0|0|1|2|1|4|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|2|3|4|4|1|4|1|99|3|4|1|1|3|3|1|2|4|4|4|4|4|4|1|1|2|1|4|1|1|4|0|0|4|4|1|1|1|1|3|2|4|4|1|1|4|2|4|4|4|4|1|3|1|4|4|4|4|4|4|4|1|1|4|1|1|1|3|3|3|4|1|1|1|4|2|2|2|2|2|2|2|2|2|4|1|4|3
14|402|8015875|5|1988|2|3|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|2|2|2|3|2|2|1|1|1|1|1|1|1|0|1|1|3|3|3|1|1|1|1|1|3|1|1|3|1|1|1|3|4|2|4|1|2|4|1|4|4|3|2|3|3|4|4|4|3|4|4|4|3|4|3|1|4|1|3|1|1|3|2|2|3|3|2|2|2|2|3|2|2|3|2|3|2|2|1|2|4|4|3|4|3|4|4|4|4|4|4|4|1|1|4|1|2|1|2|2|2|4|3|1|1|3|2|2|2|0|2|2|2|2|2|3|2|3|1
16|402|8015877|6|1966|2|1|1|1|1|1|0|0|2|1|0|0|0|0|0|0|1|2|0|3|3|1|0|3|1|1|1|1|3|1|1|1|2|2|1|1|3|1|1|1|2|1|1|2|2|1|1|1|4|4|2|4|4|2|4|2|4|3|3|3|4|4|3|3|3|4|4|4|4|4|4|4|1|4|0|99|1|2|4|4|4|4|3|2|1|3|1|3|1|4|4|3|3|4|2|2|3|4|3|4|3|3|4|4|4|3|3|4|4|1|2|4|1|1|2|2|2|2|3|1|1|1|4|2|2|2|2|2|2|2|2|2|4|2|2|1
17|402|8015878|0|0|0|0|0|0|1|1|0|0|2|1|1|0|0|0|0|0|1|2|2|3|2|1|1|1|1|1|2|1|2|2|1|1|2|2|1|1|2|2|1|1|1|1|2|2|1|1|1|1|4|4|2|3|4|3|4|2|3|2|3|2|3|3|4|4|4|3|4|4|4|4|4|3|3|4|3|3|1|1|4|3|4|4|4|2|1|1|1|2|2|1|1|1|2|2|2|2|4|4|4|4|4|2|4|4|4|4|4|4|4|1|2|4|1|1|1|1|1|1|4|1|1|1|0|2|2|2|2|2|2|2|2|2|1|3|1|1
18|402|8015879|12|1968|2|1|3|1|1|1|0|0|0|0|1|0|2|0|0|0|0|3|3|3|2|1|1|2|1|1|1|2|1|2|1|1|3|3|2|1|2|2|1|1|1|1|1|1|1|1|1|3|4|3|1|2|3|2|3|2|3|3|3|2|2|4|3|3|4|4|4|3|3|3|3|3|2|3|2|3|1|2|4|4|4|3|3|2|1|1|1|2|2|2|2|2|2|2|2|1|3|3|3|2|3|3|3|3|4|4|4|4|4|1|3|4|1|3|1|1|1|1|4|1|1|1|4|2|2|2|2|2|2|1|2|2|3|3|3|1
20|402|8015881|8|1973|2|1|3|1|1|1|0|1|2|0|0|0|0|0|0|0|1|3|1|4|1|2|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|2|1|1|2|3|1|1|1|1|1|3|1|4|3|3|2|2|3|3|3|3|3|3|3|4|4|3|3|2|4|3|3|2|2|3|3|3|3|3|2|2|3|2|3|1|2|2|3|3|3|3|2|3|3|3|4|4|3|3|3|3|3|3|3|3|2|1|3|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|3|2|3|2
22|402|8015883|6|1977|2|3|6|1|1|0|0|0|0|0|1|0|0|0|0|0|1|2|2|4|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|3|1|4|2|1|4|4|1|2|1|3|2|3|1|1|3|3|4|3|4|4|4|4|4|3|3|1|3|1|3|1|1|4|4|3|2|1|1|1|1|1|1|1|3|1|1|2|2|2|1|4|4|4|4|4|1|4|4|4|4|4|3|4|2|1|4|1|2|3|1|1|3|4|1|2|1|4|2|2|2|2|2|2|2|2|2|3|2|2|2
23|402|8015884|6|1884|2|3|1|1|1|0|0|0|0|0|99|0|0|0|0|0|1|2|1|4|2|1|2|1|1|1|1|1|2|1|1|1|2|1|1|1|2|1|1|1|1|1|1|1|2|1|1|2|4|4|2|3|3|2|4|2|4|4|4|3|3|3|3|3|2|3|3|3|3|3|3|3|2|4|2|3|1|1|4|4|4|4|4|3|3|3|2|3|3|4|4|3|4|4|4|3|3|4|3|3|3|3|4|4|4|3|4|4|4|1|1|1|2|2|2|3|2|2|4|4|4|4|4|2|2|2|2|2|2|2|2|2|4|2|2|1
24|402|8015885|7|1981|2|1|3|1|1|1|0|0|2|0|1|0|0|0|0|0|2|2|1|3|2|1|1|1|1|1|1|1|1|3|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|3|3|4|2|3|4|2|4|3|4|2|1|2|2|3|3|3|4|4|4|4|3|4|2|4|4|4|2|2|3|3|3|3|3|3|3|3|2|2|2|4|4|2|3|3|3|2|3|4|4|4|4|1|4|4|4|4|4|3|2|3|1|4|3|1|1|1|1|1|4|1|1|1|4|2|2|2|2|2|2|2|2|2|4|1|1|1
25|402|8015886|10|1987|2|2|1|1|1|1|0|0|0|0|1|0|2|0|0|0|0|2|1|2|2|2|2|1|2|1|1|1|1|1|1|1|1|2|2|1|2|1|1|1|1|1|1|1|3|1|1|1|4|3|1|2|1|3|3|2|3|2|3|1|3|3|4|3|2|3|4|4|4|4|3|3|2|3|2|3|1|1|3|2|3|3|2|2|2|0|1|2|1|3|2|3|4|3|3|2|3|4|4|4|4|2|4|4|4|4|4|4|4|1|1|4|2|2|1|2|1|2|4|3|1|1|3|2|2|2|2|2|2|2|2|2|4|2|3|1
26|402|8015887|11|1979|2|4|1|1|1|1|0|1|0|2|0|0|0|0|0|0|1|2|1|4|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|4|1|4|4|1|3|1|2|1|1|1|1|1|1|1|99|3|4|4|4|4|4|1|1|1|1|1|1|1|4|4|4|4|4|1|3|2|1|3|1|4|4|1|4|4|4|4|3|3|3|3|3|1|4|4|4|4|4|3|4|1|2|4|2|1|2|1|1|1|1|1|1|1|4|2|2|2|2|2|2|2|2|2|3|3|3|1
28|402|8015889|7|1983|2|2|3|1|1|1|0|0|0|1|0|0|0|0|0|0|2|2|0|0|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|0|0|0|0|3|4|3|0|0|2|1|1|3|0|2|0|0|3|3|3|0|4|4|4|4|4|0|3|3|4|0|3|4|4|1|2|4|1|1|0|0|0|0|0|1|1|1|3|2|2|2|2|2|2|2|2|2|1|0|1|1
29|402|8015890|2|1964|2|4|1|1|1|1|0|1|0|2|0|0|0|0|0|0|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|1|3|1|3|1|0|1|1|3|3|3|4|4|4|0|3|3|3|3|3|4|4|3|1|4|4|4|4|3|2|1|1|1|1|2|1|4|3|1|1|1|1|1|3|4|1|4|4|1|4|4|4|4|4|4|4|1|1|4|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|4|1|1|1
30|402|8015891|4|1980|2|1|3|1|1|1|0|0|0|0|2|0|0|0|1|0|1|4|3|4|3|1|2|3|3|3|2|1|3|1|1|1|2|2|1|3|2|2|2|2|1|2|1|3|3|3|3|1|4|3|4|4|4|3|3|1|4|3|3|1|2|3|3|4|4|1|3|3|3|4|3|3|1|1|2|3|2|2|3|3|4|4|4|2|2|3|1|2|2|3|3|1|2|2|2|2|2|3|2|2|2|3|4|4|4|4|4|4|4|1|1|4|1|1|1|1|1|1|4|1|1|1|4|2|2|2|2|2|2|2|2|2|4|2|2|2
31|402|8015892|5|1977|2|1|1|1|0|0|0|0|0|0|0|0|1|0|2|0|1|4|0|0|2|1|2|2|3|3|2|2|2|2|2|2|1|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|4|3|4|4|4|2|3|2|4|4|4|4|3|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|4|4|4|4|4|2|2|2|2|2|2|4|1|2|4|4|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|4|4|4|4|2|2|2|2|2|2|2|2|2|4|4|4|4
32|402|8015893|9|1982|2|1|9|1|1|1|0|0|0|0|2|0|0|0|1|0|1|3|1|4|3|2|2|3|1|1|1|1|2|1|1|1|2|2|1|1|2|1|2|1|1|1|1|2|2|2|1|2|2|4|2|3|4|3|3|1|4|3|3|0|3|3|2|4|4|4|4|4|4|3|3|3|1|3|2|3|1|2|3|3|4|2|4|2|3|2|1|2|2|4|4|2|3|3|3|3|3|3|2|3|3|2|3|3|2|3|3|3|3|2|2|4|1|2|2|2|2|2|3|2|2|2|3|2|2|2|2|2|2|2|2|2|3|2|2|1
33|402|8015894|2|1984|2|3|1|1|1|1|0|0|0|0|99|0|0|0|0|0|1|3|2|4|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|2|4|2|4|2|3|2|4|3|3|2|2|3|3|3|4|3|4|4|4|4|3|3|2|4|1|3|2|2|3|3|3|3|3|2|3|2|2|3|2|3|1|3|1|2|2|2|3|4|3|3|4|3|3|4|4|3|3|4|2|1|4|4|3|1|2|2|2|1|4|2|1|1|4|2|2|2|1|2|2|1|2|2|3|2|3|1
34|402|8015895|3|1982|2|1|1|1|1|1|0|0|0|2|0|0|1|0|0|0|1|3|2|4|1|2|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|3|2|0|3|1|2|1|4|2|2|1|1|3|2|3|3|3|4|4|3|4|3|0|0|0|0|0|0|0|4|4|4|3|2|2|2|2|1|2|3|4|4|1|4|4|4|4|2|3|3|2|3|3|3|3|3|3|3|3|3|2|2|3|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
35|403|8015900|6|1969|1|1|1|1|1|1|0|0|0|0|99|0|0|0|0|0|1|2|1|2|2|2|1|1|1|3|1|1|3|1|1|1|1|1|1|3|1|3|3|2|1|1|1|3|3|1|1|1|4|4|4|4|4|2|4|1|3|3|4|2|3|3|3|3|4|4|4|4|4|4|3|4|2|4|2|4|2|2|4|4|4|4|4|2|3|3|3|0|3|4|4|1|4|4|4|3|2|3|2|2|2|4|3|3|3|3|3|4|4|1|3|4|1|1|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|4|4|4|1
36|403|8015901|11|1967|2|1|4|1|1|1|0|0|0|0|99|0|0|0|0|0|1|3|1|4|1|1|3|1|1|1|1|1|1|1|1|1|1|3|1|2|1|1|1|1|1|1|1|3|3|1|1|1|3|4|2|4|4|3|4|4|4|3|4|2|2|4|4|4|3|4|4|3|3|4|4|3|2|3|3|3|2|2|3|3|3|3|3|2|2|3|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|3|3|3|0|2|0|3|2|2|2|2|2|2|2|2|2|3|3|3|2
37|403|8015902|5|1972|2|1|3|1|1|1|0|0|0|2|1|0|0|0|0|0|2|1|1|1|2|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|1|1|1|1|1|2|1|1|2|2|2|1|2|2|1|2|1|3|2|3|1|1|3|3|3|2|3|3|3|3|3|3|3|3|3|2|2|2|1|3|3|3|3|3|2|2|2|2|1|1|2|1|1|2|2|2|2|3|3|3|3|3|2|3|3|3|3|3|3|3|1|1|3|1|3|3|2|2|2|1|3|1|2|2|2|2|2|2|2|2|2|2|2|2|3|3|2
38|403|8015903|6|1981|2|2|1|1|1|1|0|0|0|1|0|0|2|0|0|0|1|1|3|4|1|2|2|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|4|3|4|4|1|3|1|3|1|2|1|1|1|1|1|1|4|4|4|4|4|4|1|1|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|3|3|3|3|3|3|3|1|3|3|1|2|3|4|4|4|4|4|0|4|1|1|4|1|2|3|0|3|3|3|0|1|1|0|2|2|2|2|2|2|1|1|2|3|2|3|1
39|403|8015904|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|1|0|0|1|3|2|3|3|1|1|1|1|1|1|1|3|1|1|1|1|1|3|1|1|2|2|2|1|1|1|1|1|1|1|1|4|3|4|4|4|2|4|1|3|3|2|3|3|2|2|2|2|2|2|2|2|2|2|3|2|3|3|3|3|3|3|3|3|3|0|2|2|2|2|2|2|2|2|2|2|2|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|3|3|3|3|0|3|3|2|2|2|2|2|2|2|2|2|3|3|3|3
40|403|8015905|4|1982|2|3|1|1|1|1|0|0|0|1|99|0|0|0|0|0|1|2|0|2|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|4|4|2|4|2|1|2|2|3|2|3|2|3|3|3|3|2|2|3|3|3|3|3|3|3|3|2|2|2|3|3|3|3|3|3|2|2|2|1|2|1|1|1|1|2|2|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|4|2|1|2|1|1|2|4|2|2|2|3|2|2|2|2|2|2|2|2|2|3|3|2|2
41|403|8015906|4|1971|2|6|3|1|1|0|0|1|0|0|0|0|0|0|0|0|1|1|1|4|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|2|2|1|2|2|1|3|1|0|1|3|1|1|1|1|1|1|3|3|3|1|3|1|3|2|3|2|3|1|1|3|3|3|3|3|2|3|2|2|2|1|2|1|2|3|3|1|2|3|3|3|3|3|1|3|3|3|3|3|3|3|1|1|3|1|1|3|2|0|0|1|1|1|1|0|2|2|2|2|2|2|0|2|2|3|2|2|2
42|403|8015907|2|1982|2|3|1|1|1|1|0|0|1|1|0|0|0|0|0|0|2|2|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|2|0|1|1|4|1|4|1|1|4|4|4|3|3|4|3|3|3|4|1|2|4|1|3|1|4|4|4|4|1|1|1|1|2|1|2|2|1|3|1|3|4|3|3|4|4|4|4|4|1|4|4|4|4|4|4|4|1|1|4|1|1|1|1|1|1|4|4|1|1|4|2|2|2|2|2|2|2|2|2|3|4|4|1
44|403|8015909|1|1958|1|1|1|1|1|1|0|0|1|0|2|0|0|0|0|0|1|0|0|3|3|1|1|1|1|1|1|1|1|1|1|1|0|2|0|0|0|0|0|0|0|0|0|0|2|0|0|0|4|0|0|0|0|1|3|1|4|2|3|1|3|4|4|4|4|3|4|4|4|4|4|2|0|4|1|4|1|1|4|4|4|4|4|1|1|1|1|3|1|3|3|4|3|4|2|1|4|4|4|4|4|1|4|4|4|2|4|4|4|3|1|4|1|1|4|4|4|4|4|3|1|1|4|2|2|2|2|2|2|2|2|2|4|3|3|1
45|403|8015910|0|0|0|0|0|0|1|1|0|0|0|0|0|0|1|0|0|0|1|2|0|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|1|2|2|4|2|3|2|3|3|3|3|4|3|4|4|4|3|4|3|4|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|3|2|3|3|3|4|4|4|4|4|4|2|2|4|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
46|403|8015911|12|1984|2|2|1|1|1|1|0|0|0|0|2|1|0|0|0|0|1|3|3|4|2|1|3|3|1|2|1|1|3|3|1|1|3|3|3|2|2|3|3|2|2|3|1|2|2|2|2|3|4|4|4|4|4|2|4|2|4|4|4|2|3|3|3|3|3|4|4|4|4|4|4|3|3|4|2|2|2|2|4|4|4|4|4|2|2|3|3|1|2|2|2|1|2|2|2|2|3|4|4|3|4|1|4|4|4|3|4|4|4|1|1|4|1|2|2|2|2|2|3|1|1|1|4|2|2|2|2|2|2|2|2|2|4|2|3|1
47|403|8015912|10|1975|2|1|4|1|1|1|0|0|0|2|1|0|0|0|0|0|2|2|1|1|2|1|1|1|1|1|1|1|2|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|4|3|3|4|2|4|2|4|3|4|2|4|4|4|4|4|4|4|4|4|4|4|4|1|4|3|4|1|1|4|3|4|3|3|1|1|1|1|1|1|1|1|1|2|2|2|2|1|3|3|3|1|4|4|4|4|4|4|4|4|1|1|4|1|4|4|1|1|1|4|1|3|3|4|1|2|2|1|2|2|1|2|2|4|1|4|1
48|403|8015913|4|1973|2|6|1|1|1|1|0|0|0|99|0|0|0|0|0|0|1|2|2|4|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|2|4|1|3|2|3|1|3|1|1|3|3|3|3|3|4|3|3|4|3|2|2|3|1|2|1|1|3|3|3|3|3|2|1|1|1|2|2|4|4|4|2|2|2|3|3|4|3|3|3|3|3|3|3|2|3|0|0|0|0|0|0|0|1|1|1|1|1|2|1|1|4|2|2|2|2|2|2|2|2|2|3|2|3|1
50|403|8015915|6|1970|1|1|1|1|1|1|0|0|99|0|0|0|0|0|0|0|1|4|2|4|1|2|1|1|1|1|2|1|1|3|1|1|1|3|1|1|1|1|2|1|2|1|1|1|3|1|1|1|4|1|1|1|1|3|3|3|4|3|3|1|3|4|3|3|3|4|3|3|3|3|3|3|2|4|3|4|2|2|4|4|4|3|2|1|1|2|1|4|1|1|4|1|4|1|4|1|3|4|4|3|4|3|4|4|4|2|3|4|3|2|4|4|4|2|3|4|2|2|2|3|2|2|4|2|2|2|1|2|2|2|2|2|3|3|3|3
51|403|8015916|11|1976|2|1|1|1|1|1|0|1|2|0|0|0|0|0|0|0|1|2|1|4|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|3|3|2|1|3|2|3|2|3|1|1|4|3|3|4|3|4|3|3|4|3|3|2|2|2|3|2|3|3|3|3|3|3|1|1|2|1|2|1|1|1|1|2|2|2|1|3|4|2|3|3|4|4|4|4|4|4|4|4|1|1|4|1|1|2|2|2|2|4|2|1|1|4|2|2|2|2|2|2|2|2|2|4|2|2|1
52|403|8015917|1|1967|2|1|1|1|1|1|0|99|0|0|0|0|0|0|0|0|1|3|2|4|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|4|4|2|2|3|3|4|2|3|3|3|2|2|3|3|3|4|3|4|2|3|4|2|3|3|3|2|3|2|2|3|3|3|2|2|3|2|3|1|3|2|3|4|2|3|3|3|2|3|4|4|4|4|3|4|4|4|2|4|3|3|2|2|3|2|3|2|2|2|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|2|2
53|403|8015918|1|1484|2|3|4|1|1|1|0|0|0|0|1|0|0|0|2|0|1|0|0|4|1|2|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|2|1|1|1|3|4|2|4|4|3|3|1|3|3|3|2|4|3|4|4|3|3|4|4|4|4|4|4|3|4|1|3|1|1|4|4|4|4|4|1|1|1|1|1|1|2|2|2|2|1|1|1|4|4|4|4|4|3|4|4|4|4|4|4|4|1|1|4|1|1|1|1|1|1|4|1|1|1|1|2|2|2|2|2|2|2|2|2|4|1|2|1
55|403|8015920|999|0|2|3|3|1|1|1|0|1|0|0|0|0|0|0|2|0|0|4|3|4|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1|1|2|2|3|3|2|4|4|4|2|2|4|4|4|4|4|4|4|4|4|4|3|2|4|2|2|2|4|4|4|4|4|4|1|2|1|2|1|1|3|3|3|3|2|2|2|3|4|4|4|4|4|4|4|4|4|4|4|4|1|1|4|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
56|410|8016128|7|1970|2|3|1|1|1|0|0|0|0|0|0|0|1|0|0|0|1|2|0|2|3|1|3|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|4|3|3|4|2|3|3|1|4|4|4|2|2|4|3|3|3|4|3|3|4|4|4|3|1|4|1|3|1|1|3|3|4|3|4|3|3|3|1|4|2|3|2|3|3|2|2|2|2|4|4|3|4|2|4|4|4|3|3|4|4|1|1|4|1|1|1|2|1|2|3|1|1|1|4|2|2|2|2|2|2|1|2|2|4|2|1|1
57|410|8016129|1|1964|1|1|1|2|1|1|0|0|0|0|2|0|1|0|0|0|1|3|2|4|3|1|1|1|1|1|1|1|1|1|1|1|2|2|1|1|1|1|2|1|1|1|1|2|1|1|1|2|4|4|3|3|4|2|2|1|3|2|3|1|1|2|1|1|3|4|3|3|3|3|2|3|3|2|2|3|2|1|3|3|4|3|3|2|1|1|1|1|2|4|4|2|4|2|3|2|2|3|3|2|2|3|4|4|4|4|4|4|4|1|1|4|1|1|2|2|2|3|4|3|3|1|3|2|2|2|2|2|2|1|2|2|2|3|2|2
59|410|8016131|1|1960|2|2|4|1|1|1|0|2|0|1|0|0|0|0|0|0|1|2|1|3|3|1|2|3|1|2|1|2|1|1|1|1|2|3|1|1|2|2|1|1|2|1|1|2|3|2|1|1|4|1|2|1|1|2|2|1|3|3|2|1|3|4|4|4|3|4|4|4|4|4|4|3|1|4|2|2|1|1|2|3|3|3|2|2|1|1|1|1|1|2|1|2|2|2|2|1|2|4|4|3|4|4|4|4|4|4|4|4|4|1|4|4|4|1|1|1|1|2|4|2|1|1|4|2|1|2|2|2|2|1|2|2|3|2|2|1
60|410|8016132|10|1975|1|6|4|1|1|0|0|0|0|0|0|0|1|0|0|0|2|2|1|3|2|2|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|3|2|1|1|1|1|1|3|2|4|1|1|1|1|1|3|4|4|4|4|4|1|3|2|3|2|3|2|3|4|3|4|3|3|1|2|2|1|2|1|3|4|2|3|3|3|1|3|3|3|3|3|3|4|4|4|3|4|3|3|2|2|3|2|2|2|2|2|2|4|1|1|1|4|2|2|2|1|2|2|2|2|2|3|2|3|2
